Header; Nr_of_streams; recording TimeStamp; Operation; Number of packets; packateNr; Sending TimeStamp; TX_Valid; TX_Last; TX_Address; TX_Value; RX_LAST; RX_valid; RX_Address; RX_VALUE; Dummy; Tail
268435455; 78729; 1427328140; 0; 388; 16170; 1427695619; 0; 0; 0; 0; 0; 1; 0; 0; 0; 268435454
268435455; 78730; 1427328250; 0; 388; 16170; 1427695620; 0; 0; 0; 0; 0; 1; 0; 0; 0; 268435454
268435455; 78731; 1427331450; 0; 388; 16170; 1427695621; 0; 0; 0; 0; 0; 1; 0; 0; 0; 268435454
268435455; 78732; 1427331560; 0; 388; 16170; 1427695622; 0; 0; 0; 0; 0; 1; 0; 0; 0; 268435454
268435455; 78733; 1427334882; 0; 388; 16170; 1427695623; 0; 0; 0; 0; 0; 1; 0; 0; 0; 268435454
268435455; 78734; 1427334992; 0; 388; 16170; 1427695624; 0; 0; 0; 0; 0; 1; 0; 0; 0; 268435454
268435455; 78735; 1427337522; 0; 388; 16170; 1427695625; 0; 0; 0; 0; 0; 1; 0; 0; 0; 268435454
268435455; 78736; 1427337632; 0; 388; 16170; 1427695626; 0; 0; 0; 0; 0; 1; 0; 0; 0; 268435454
268435455; 78737; 1427340058; 0; 388; 16170; 1427695627; 0; 0; 0; 0; 0; 1; 0; 0; 0; 268435454
268435455; 78738; 1427340168; 0; 388; 16170; 1427695628; 0; 0; 0; 0; 0; 1; 0; 0; 0; 268435454
268435455; 78739; 1427340278; 0; 388; 16170; 1427695629; 0; 0; 0; 0; 0; 1; 0; 0; 0; 268435454
268435455; 78740; 1427342954; 0; 388; 16170; 1427695630; 0; 0; 0; 0; 0; 1; 0; 0; 0; 268435454
268435455; 78741; 1427343064; 0; 388; 16170; 1427695631; 0; 0; 0; 0; 0; 1; 0; 0; 0; 268435454
268435455; 78742; 1427346178; 0; 388; 16170; 1427695632; 0; 0; 0; 0; 0; 1; 0; 0; 0; 268435454
268435455; 78743; 1427346288; 0; 388; 16170; 1427695633; 0; 0; 0; 0; 0; 1; 0; 0; 0; 268435454
268435455; 78744; 1427346398; 0; 388; 16170; 1427695634; 0; 0; 0; 0; 0; 1; 0; 0; 0; 268435454
268435455; 78745; 1427349450; 0; 388; 16170; 1427695635; 0; 0; 0; 0; 0; 1; 0; 0; 0; 268435454
268435455; 78746; 1427349560; 0; 388; 16170; 1427695636; 0; 0; 0; 0; 0; 1; 0; 0; 0; 268435454
268435455; 78747; 1427349670; 0; 388; 16170; 1427695637; 0; 0; 0; 0; 0; 1; 0; 0; 0; 268435454
268435455; 78748; 1427352450; 0; 388; 16170; 1427695638; 0; 0; 0; 0; 0; 1; 0; 0; 0; 268435454
268435455; 78749; 1427352560; 0; 388; 16170; 1427695639; 0; 0; 0; 0; 0; 1; 0; 0; 0; 268435454
268435455; 78750; 1427355314; 0; 388; 16170; 1427695640; 0; 0; 0; 0; 0; 1; 0; 0; 0; 268435454
268435455; 78751; 1427355424; 0; 388; 16170; 1427695641; 0; 0; 0; 0; 0; 1; 0; 0; 0; 268435454
268435455; 78752; 1427355534; 0; 388; 16170; 1427695642; 0; 0; 0; 0; 0; 1; 0; 0; 0; 268435454
268435455; 78753; 1427355644; 0; 388; 16170; 1427695643; 0; 0; 0; 0; 0; 1; 0; 0; 0; 268435454
268435455; 78754; 1427359002; 0; 388; 16170; 1427695644; 0; 0; 0; 0; 0; 1; 0; 0; 0; 268435454
268435455; 78755; 1427359112; 0; 388; 16170; 1427695645; 0; 0; 0; 0; 0; 1; 0; 0; 0; 268435454
