Header; Nr_of_streams; recording TimeStamp; Operation; Number of packets; packateNr; Sending TimeStamp; globals_clk; globals_rst; globals_reg_address; globals_reg_value; target_tb_in_1; target_tb_in_2; target_tb_in_3; target_tb_in_4; target_tb_in_5; target_tb_in_6; target_tb_in_7; target_tb_in_8; target_tb_in_9; target_tb_out_1; target_tb_out_2; target_tb_out_3; target_tb_out_4; target_tb_out_5; target_tb_out_6; target_tb_out_7; target_tb_out_8; target_tb_out_9; read_out; busa_clr_in; busa_clr_out; Tail
268435455; 1661024; 1973342484; 0; 1000; 174536; 1975324362; 2546; 0; 2546; 2545; 3165538622; 0; 0; 0; 0; 0; 0; 0; 0; 0; 7; 0; 0; 0; 0; 0; 0; 0; 4660; 0; 1; 268435454
268435455; 1661025; 1973342634; 0; 1000; 174536; 1975324363; 2546; 0; 2546; 2545; 3167072493; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 5; 0; 0; 0; 0; 0; 0; 4660; 0; 1; 268435454
268435455; 1661026; 1973346258; 0; 1000; 174536; 1975324364; 2546; 0; 2546; 2545; 3167608607; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 15; 0; 0; 0; 0; 4660; 0; 1; 268435454
268435455; 1661027; 1973346408; 0; 1000; 174536; 1975324365; 2546; 0; 2546; 2545; 3168208442; 0; 0; 0; 0; 0; 0; 0; 0; 0; 4; 0; 0; 0; 0; 0; 0; 0; 4660; 0; 1; 268435454
268435455; 1661028; 1973350122; 0; 1000; 174536; 1975324366; 2546; 0; 2546; 2545; 3173003716; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 4660; 0; 1; 268435454
268435455; 1661029; 1973352818; 0; 1000; 174536; 1975324367; 2546; 0; 2546; 2545; 3173610564; 0; 0; 0; 0; 0; 0; 0; 0; 2; 0; 0; 0; 0; 0; 0; 0; 0; 4660; 0; 1; 268435454
268435455; 1661030; 1973352970; 0; 1000; 174536; 1975324368; 2546; 0; 2546; 2545; 3173887628; 0; 0; 0; 0; 0; 0; 0; 0; 0; 8; 0; 0; 0; 0; 0; 0; 0; 4660; 0; 1; 268435454
268435455; 1661031; 1973355988; 0; 1000; 174536; 1975324369; 2546; 0; 2546; 2545; 3270165828; 0; 0; 0; 0; 0; 0; 0; 0; 0; 6; 0; 0; 0; 0; 0; 0; 0; 4660; 0; 1; 268435454
268435455; 1661032; 1973356138; 0; 1000; 174536; 1975324370; 2546; 0; 2546; 2545; 3271692656; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 15; 0; 0; 0; 0; 4660; 0; 1; 268435454
268435455; 1661033; 1973359868; 0; 1000; 174536; 1975324371; 2546; 0; 2546; 2545; 3272499577; 0; 0; 0; 0; 0; 0; 0; 0; 0; 4; 0; 0; 0; 0; 0; 0; 0; 4660; 0; 1; 268435454
268435455; 1661034; 1973360018; 0; 1000; 174536; 1975324372; 2546; 0; 2546; 2545; 3272926054; 0; 0; 0; 0; 0; 0; 0; 0; 0; 6; 0; 0; 0; 0; 0; 0; 0; 4660; 0; 1; 268435454
268435455; 1661035; 1973363684; 0; 1000; 174536; 1975324373; 2546; 0; 2546; 2545; 3274013312; 0; 0; 0; 0; 0; 0; 0; 0; 0; 9; 0; 0; 0; 0; 0; 0; 0; 4660; 0; 1; 268435454
268435455; 1661036; 1973363834; 0; 1000; 174536; 1975324374; 2546; 0; 2546; 2545; 3274175116; 0; 0; 0; 0; 0; 0; 0; 0; 0; 14; 0; 0; 0; 0; 0; 0; 0; 4660; 0; 1; 268435454
268435455; 1661037; 1973368444; 0; 1000; 174536; 1975324375; 2546; 0; 2546; 2545; 3277679317; 0; 0; 0; 0; 0; 0; 0; 0; 0; 10; 0; 0; 0; 0; 0; 0; 0; 4660; 0; 1; 268435454
268435455; 1661038; 1973368594; 0; 1000; 174536; 1975324376; 2546; 0; 2546; 2545; 3277809106; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 9; 0; 0; 0; 0; 0; 0; 4660; 0; 1; 268435454
268435455; 1661039; 1973371476; 0; 1000; 174536; 1975324377; 2546; 0; 2546; 2545; 3277859757; 0; 0; 0; 0; 0; 0; 0; 0; 7; 0; 0; 0; 0; 0; 0; 0; 0; 4660; 0; 1; 268435454
268435455; 1661040; 1973371626; 0; 1000; 174536; 1975324378; 2546; 0; 2546; 2545; 3279812073; 0; 0; 0; 0; 0; 0; 0; 0; 0; 7; 0; 0; 0; 0; 0; 0; 0; 4660; 0; 1; 268435454
268435455; 1661041; 1973375460; 0; 1000; 174536; 1975324379; 2546; 0; 2546; 2545; 3283945219; 0; 0; 0; 0; 0; 0; 0; 0; 0; 9; 0; 0; 0; 0; 0; 0; 0; 4660; 0; 1; 268435454
268435455; 1661042; 1973375610; 0; 1000; 174536; 1975324380; 2546; 0; 2546; 2545; 3285159627; 0; 0; 0; 0; 0; 0; 0; 0; 6; 0; 0; 0; 0; 0; 0; 0; 0; 4660; 0; 1; 268435454
268435455; 1661043; 1973379332; 0; 1000; 174536; 1975324381; 2546; 0; 2546; 2545; 3285323922; 0; 0; 0; 0; 0; 0; 0; 0; 0; 10; 0; 0; 0; 0; 0; 0; 0; 4660; 0; 1; 268435454
268435455; 1661044; 1973379482; 0; 1000; 174536; 1975324382; 2546; 0; 2546; 2545; 3286768823; 0; 0; 0; 0; 0; 0; 0; 0; 3; 0; 0; 0; 0; 0; 0; 0; 0; 4660; 0; 1; 268435454
268435455; 1661045; 1973384076; 0; 1000; 174536; 1975324383; 2546; 0; 2546; 2545; 3288082280; 0; 0; 0; 0; 0; 0; 0; 0; 0; 12; 0; 0; 0; 0; 0; 0; 0; 4660; 0; 1; 268435454
268435455; 1661046; 1973384226; 0; 1000; 174536; 1975324384; 2546; 0; 2546; 2545; 3288250017; 0; 0; 0; 0; 0; 0; 0; 0; 7; 0; 0; 0; 0; 0; 0; 0; 0; 4660; 0; 1; 268435454
268435455; 1661047; 1973387108; 0; 1000; 174536; 1975324385; 2546; 0; 2546; 2545; 3289312458; 0; 0; 0; 0; 0; 0; 0; 0; 7; 0; 0; 0; 0; 0; 0; 0; 0; 4660; 0; 1; 268435454
268435455; 1661048; 1973387258; 0; 1000; 174536; 1975324386; 2546; 0; 2546; 2545; 3289601930; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 5; 0; 0; 0; 0; 0; 0; 4660; 0; 1; 268435454
268435455; 1661049; 1973390938; 0; 1000; 174536; 1975324387; 2546; 0; 2546; 2545; 3291294083; 0; 0; 0; 0; 0; 0; 0; 0; 0; 6; 0; 0; 0; 0; 0; 0; 0; 4660; 0; 1; 268435454
268435455; 1661050; 1973391088; 0; 1000; 174536; 1975324388; 2546; 0; 2546; 2545; 3291864497; 0; 0; 0; 0; 0; 0; 0; 0; 9; 0; 0; 0; 0; 0; 0; 0; 0; 4660; 0; 1; 268435454
268435455; 1661051; 1973394826; 0; 1000; 174536; 1975324389; 2546; 0; 2546; 2545; 3296307609; 0; 0; 0; 0; 0; 0; 0; 0; 0; 7; 0; 0; 0; 0; 0; 0; 0; 4660; 0; 1; 268435454
268435455; 1661052; 1973394976; 0; 1000; 174536; 1975324390; 2546; 0; 2546; 2545; 3297380444; 0; 0; 0; 0; 0; 0; 0; 0; 10; 0; 0; 0; 0; 0; 0; 0; 0; 4660; 0; 1; 268435454
268435455; 1661053; 1973399698; 0; 1000; 174536; 1975324391; 2546; 0; 2546; 2545; 3303686401; 0; 0; 0; 0; 0; 0; 0; 0; 11; 0; 0; 0; 0; 0; 0; 0; 0; 4660; 0; 1; 268435454
268435455; 1661054; 1973399848; 0; 1000; 174536; 1975324392; 2546; 0; 2546; 2545; 3304538707; 0; 0; 0; 0; 0; 0; 0; 0; 0; 4; 0; 0; 0; 0; 0; 0; 0; 4660; 0; 1; 268435454
268435455; 1661055; 1973402370; 0; 1000; 174536; 1975324393; 2546; 0; 2546; 2545; 3306463117; 0; 0; 0; 0; 0; 0; 0; 0; 0; 9; 0; 0; 0; 0; 0; 0; 0; 4660; 0; 1; 268435454
268435455; 1661056; 1973402520; 0; 1000; 174536; 1975324394; 2546; 0; 2546; 2545; 3307249304; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 12; 0; 0; 0; 0; 4660; 0; 1; 268435454
268435455; 1661057; 1973406234; 0; 1000; 174536; 1975324395; 2546; 0; 2546; 2545; 3311294142; 0; 0; 0; 0; 0; 0; 0; 0; 0; 4; 0; 0; 0; 0; 0; 0; 0; 4660; 0; 1; 268435454
268435455; 1661058; 1973406384; 0; 1000; 174536; 1975324396; 2546; 0; 2546; 2545; 3313338373; 0; 0; 0; 0; 0; 0; 0; 0; 10; 0; 0; 0; 0; 0; 0; 0; 0; 4660; 0; 1; 268435454
268435455; 1661059; 1973410162; 0; 1000; 174536; 1975324397; 2546; 0; 2546; 2545; 3313616386; 0; 0; 0; 0; 0; 0; 0; 0; 7; 0; 0; 0; 0; 0; 0; 0; 0; 4660; 0; 1; 268435454
268435455; 1661060; 1973410312; 0; 1000; 174536; 1975324398; 2546; 0; 2546; 2545; 3314817855; 0; 0; 0; 0; 0; 0; 0; 0; 9; 0; 0; 0; 0; 0; 0; 0; 0; 4660; 0; 1; 268435454
268435455; 1661061; 1973414076; 0; 1000; 174536; 1975324399; 2546; 0; 2546; 2545; 3315534375; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 5; 0; 0; 0; 0; 4660; 0; 1; 268435454
268435455; 1661062; 1973414226; 0; 1000; 174536; 1975324400; 2546; 0; 2546; 2545; 3315817495; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 15; 0; 0; 0; 0; 4660; 0; 1; 268435454
268435455; 1661063; 1973417796; 0; 1000; 174536; 1975324401; 2546; 0; 2546; 2545; 3317471925; 0; 0; 0; 0; 0; 0; 0; 0; 0; 13; 0; 0; 0; 0; 0; 0; 0; 4660; 0; 1; 268435454
268435455; 1661064; 1973417946; 0; 1000; 174536; 1975324402; 2546; 0; 2546; 2545; 3318454113; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 11; 0; 0; 0; 0; 0; 0; 0; 0; 1; 268435454
268435455; 1661065; 1973421692; 0; 1000; 174536; 1975324403; 2546; 0; 2546; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 268435454
268435455; 1661066; 1973421842; 0; 1000; 174536; 1975324404; 2546; 0; 2546; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 268435454
268435455; 1661067; 1973425588; 0; 1000; 174536; 1975324405; 2546; 0; 2546; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 268435454
268435455; 1661068; 1973425738; 0; 1000; 174536; 1975324406; 2546; 0; 2546; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 268435454
268435455; 1661069; 1973429468; 0; 1000; 174536; 1975324407; 2546; 0; 2546; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 268435454
268435455; 1661070; 1973429618; 0; 1000; 174536; 1975324408; 2546; 0; 2546; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 268435454
268435455; 1661071; 1973433226; 0; 1000; 174536; 1975324409; 2546; 0; 2546; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 268435454
268435455; 1661072; 1973433376; 0; 1000; 174536; 1975324410; 2546; 0; 2546; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 268435454
268435455; 1661073; 1973437186; 0; 1000; 174536; 1975324411; 2546; 0; 2546; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 268435454
268435455; 1661074; 1973437336; 0; 1000; 174536; 1975324412; 2546; 0; 2546; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 268435454
268435455; 1661075; 1973441026; 0; 1000; 174536; 1975324413; 2546; 0; 2546; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 268435454
268435455; 1661076; 1973441174; 0; 1000; 174536; 1975324414; 2546; 0; 2546; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 268435454
268435455; 1661077; 1973444874; 0; 1000; 174536; 1975324415; 2546; 0; 2546; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 268435454
268435455; 1661078; 1973445024; 0; 1000; 174536; 1975324416; 2546; 0; 2546; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 268435454
268435455; 1661079; 1973450298; 0; 1000; 174536; 1975324417; 2546; 0; 2546; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 268435454
268435455; 1661080; 1973450448; 0; 1000; 174536; 1975324418; 2546; 0; 2546; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 268435454
268435455; 1661081; 1973454170; 0; 1000; 174536; 1975324419; 2546; 0; 2546; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 268435454
268435455; 1661082; 1973454320; 0; 1000; 174536; 1975324420; 2546; 0; 2546; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 268435454
268435455; 1661083; 1973457778; 0; 1000; 174536; 1975324421; 2546; 0; 2546; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 268435454
268435455; 1661084; 1973457928; 0; 1000; 174536; 1975324422; 2546; 0; 2546; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 268435454
268435455; 1661085; 1973462194; 0; 1000; 174536; 1975324423; 2546; 0; 2546; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 268435454
268435455; 1661086; 1973462344; 0; 1000; 174536; 1975324424; 2546; 0; 2546; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 268435454
268435455; 1661087; 1973465450; 0; 1000; 174536; 1975324425; 2546; 0; 2546; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 268435454
268435455; 1661088; 1973465600; 0; 1000; 174536; 1975324426; 2546; 0; 2546; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 268435454
268435455; 1661089; 1973469402; 0; 1000; 174536; 1975324427; 2546; 0; 2546; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 268435454
268435455; 1661090; 1973469552; 0; 1000; 174536; 1975324428; 2546; 0; 2546; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 268435454
268435455; 1661091; 1973473162; 0; 1000; 174536; 1975324429; 2546; 0; 2546; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 268435454
268435455; 1661092; 1973473312; 0; 1000; 174536; 1975324430; 2546; 0; 2546; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 268435454
268435455; 1661093; 1973477818; 0; 1000; 174536; 1975324431; 2546; 0; 2546; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 268435454
268435455; 1661094; 1973477968; 0; 1000; 174536; 1975324432; 2546; 0; 2546; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 268435454
268435455; 1661095; 1973480906; 0; 1000; 174536; 1975324433; 2546; 0; 2546; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 268435454
268435455; 1661096; 1973481056; 0; 1000; 174536; 1975324434; 2546; 0; 2546; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 268435454
268435455; 1661097; 1973484682; 0; 1000; 174536; 1975324435; 2546; 0; 2546; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 268435454
268435455; 1661098; 1973484832; 0; 1000; 174536; 1975324436; 2546; 0; 2546; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 268435454
268435455; 1661099; 1973488602; 0; 1000; 174536; 1975324437; 2546; 0; 2546; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 268435454
268435455; 1661100; 1973488752; 0; 1000; 174536; 1975324438; 2546; 0; 2546; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 268435454
268435455; 1661101; 1973493442; 0; 1000; 174536; 1975324439; 2546; 0; 2546; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 268435454
268435455; 1661102; 1973493592; 0; 1000; 174536; 1975324440; 2546; 0; 2546; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 268435454
268435455; 1661103; 1973496282; 0; 1000; 174536; 1975324441; 2546; 0; 2546; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 268435454
268435455; 1661104; 1973496432; 0; 1000; 174536; 1975324442; 2546; 0; 2546; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 268435454
268435455; 1661105; 1973500122; 0; 1000; 174536; 1975324443; 2546; 0; 2546; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 268435454
268435455; 1661106; 1973500270; 0; 1000; 174536; 1975324444; 2546; 0; 2546; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 268435454
268435455; 1661107; 1973503954; 0; 1000; 174536; 1975324445; 2546; 0; 2546; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 268435454
268435455; 1661108; 1973504104; 0; 1000; 174536; 1975324446; 2546; 0; 2546; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 268435454
